,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,full_name
337,2019-20,29.0,18.2,8.9,3.1,6.3,49.5,1.5,3.2,45.7,1.2,1.5,77.3,0.3,1.8,2.1,2.1,1.2,0.5,0.2,2.0,15.4,0.0,0.0,0.0,Shake Milton
338,2019-20,59.0,34.4,24.7,9.1,19.8,45.9,2.5,6.8,36.8,4.0,4.7,85.5,0.7,3.8,4.5,4.2,2.7,1.0,0.2,2.5,37.3,1.0,0.0,2.1,Donovan Mitchell
339,2019-20,3.0,14.2,4.7,2.0,5.3,37.5,0.7,3.7,18.2,0.0,0.0,0.0,0.0,2.0,2.0,2.3,0.7,0.3,0.3,0.3,11.9,0.0,0.0,6.0,Naz Mitrou-Long
340,2019-20,11.0,10.2,2.9,1.1,2.5,42.9,0.5,1.4,40.0,0.2,0.4,50.0,0.6,0.3,0.9,0.4,0.2,0.4,0.0,1.5,5.5,0.0,0.0,4.5,Adam Mokoka
341,2019-20,55.0,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82.0,0.5,2.4,2.9,2.1,1.4,0.5,0.3,1.3,17.6,1.0,0.0,-4.2,Malik Monk
342,2019-20,3.0,1.9,0.7,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,3.6,0.0,0.0,0.3,Matt Mooney
343,2019-20,48.0,19.1,8.8,3.5,8.3,42.5,1.2,3.2,38.1,0.6,0.9,65.9,0.6,1.9,2.5,1.5,0.7,0.6,0.2,1.5,15.6,0.0,0.0,-0.3,E'Twaun Moore
344,2019-20,55.0,29.9,17.6,6.7,13.6,49.3,0.8,2.3,35.2,3.5,4.5,76.9,0.7,2.7,3.4,7.0,3.2,0.9,0.3,1.6,32.6,11.0,1.0,-0.4,Ja Morant
345,2019-20,16.0,4.6,1.2,0.6,1.1,52.9,0.1,0.3,20.0,0.0,0.0,0.0,0.3,0.9,1.2,0.1,0.2,0.0,0.1,0.4,2.8,0.0,0.0,1.2,Juwan Morgan
346,2019-20,49.0,21.8,10.5,3.8,8.5,44.6,1.6,4.2,39.2,1.3,1.7,78.3,0.6,3.2,3.8,1.5,1.5,0.6,0.3,2.3,18.3,1.0,0.0,-2.2,Markieff Morris
347,2019-20,61.0,21.5,8.5,3.4,7.5,46.2,0.8,2.2,38.1,0.8,0.9,80.7,0.3,1.5,1.8,3.6,0.7,0.8,0.2,1.0,18.4,0.0,0.0,1.2,Monte Morris
348,2019-20,52.0,31.8,18.0,6.1,13.9,43.9,2.5,5.9,41.8,3.3,4.0,82.5,1.0,4.2,5.2,1.4,1.7,0.8,0.5,2.9,28.4,3.0,0.0,-1.3,Marcus MorrisSr.
349,2019-20,13.0,3.2,2.2,0.8,1.2,73.3,0.1,0.1,100,0.4,0.5,71.4,0.2,0.5,0.8,0.6,0.4,0.2,0.0,0.5,4.3,0.0,0.0,0.2,Johnathan Motley
